弗伦克尔	A. A. Fraenkel	(1891-1965)
弗罗贝尼乌斯	F. G. Frobenius	(1849-1917)
弗罗伊登塔尔	H. Freudenthal	(1905-1990)
弗洛凯	A. M. G. Floquet	(1847-1920)
弗斯腾伯格	H. Furstenberg	(1935-)
福科什	J. Farkas	(1847-1930)
福原满洲雄	Hukuhara Masuo	(1905-2007)
富比尼	G. Fubini	(1879-1943)
富克斯	I. L. Fuchs	(1833-1902)
富田稔	Tomita Minoru	(1924-2015)
傅里叶	J. B. J. Fourier	(1768-1830)
盖尔范德	I. M. Gelfand	(1913-2009)
盖尔丰德	A. O. Gelfond	(1906-1968)
盖根鲍尔	L. Gegenbauer	(1849-1903)
高尔顿	F. Galton	(1822-1911)
高尔斯	W. T. Gowers	(1963-)
高木贞治	Takagi Teiji	(1875-1960)
高斯	C. F. Gauss	(1777-1855)
高斯珀	B. Gosper	(1943-)
戈丹	P. A. Gordan	(1837-1912)
戈登	W. Gordon	(1893-1939)
戈杜诺夫	S. K. Godunov	(1929-)
戈尔德施泰因	H. H. Goldstein	(1913-2004)
戈尔丁	L. Gårding	(1919-2014)
戈卢别夫	V. V. Golubev	(1884-1954)
戈伦斯坦	D. Gorénstein	(1923-1992)
戈莫里	R. E. Gomory	(1929-)
戈塞特	W. S. Gosset 	(1876-1937)
哥德巴赫	C. Goldbach	(1690-1764)
哥德尔	K. Gödel	(1906-1978)
格拉姆	J. P. Gram	(1850-1916)
格拉斯曼	H. G. Grassmann	(1809-1877)
格兰迪	G. Grandi	(1671-1742)
格朗沃尔	T. H. Gronwall	(1877-1932)
格雷戈里	J. Gregory	(1638-1675)
格里菲斯	P. A. Griffiths	(1938-)
格里斯	R. L. Griess	(1945-)
格利姆	J. Glimm	(1934-)
格利森	A. M. Gleason	(1921-2008)
格林	G. Green	(1793-1841)
格罗莫夫	M. Gromov	(1943-)
格罗斯曼	M. Grossmann	(1878-1936)
格罗滕迪克	A. Grothendieck	(1928-2014)
格涅坚科	B. V. Gnedenko	(1912-1995)
根岑	G. K. E. Gentzen	(1909-1945)
宫冈洋一	Miyaoka Yoichi	(1949-)
古德曼	C. Gudermann	(1798-1852)
古尔德	H. W. Gould	(1928- )
古尔萨	É.J. -B. Goursat	(1858-1936)
古诺	A. A. Cournot	(1801-1877)
谷山丰	Taniyama Yutaka	(1927-1958)
关孝和	Seki Takakazu	(约 1642-1708)
广中平佑	Hironaka Heisuke	(1931-)
哈代	G. H. Hardy	(1877-1947)
哈恩	H. Hahn	(1879-1934)
哈尔	A. Haar	(1885-1933)
哈尔莫斯	P. R. Halmos	(1916-2006)
哈雷	E. Halley	(1656-1742)
哈里希－钱德拉	Harish-Chandra	(1923-1983)
哈梅尔	G. K. W. Hamel	(1877-1954)
哈密顿	R. Hamilton	(1943- )
哈密顿	W. R. Hamilton	(1805-1865)
哈默斯坦	A. Hammerstein	(1888-1941)
哈纳克	C. G. A. Harnack	(1851-1888)
哈塞	H. Hasse	(1898-1979)
哈托格斯	F. Hartogs	(1874-1943)
海拜什·哈西卜	Habash al Hāsib	(约卒于864-874)
海尔布伦	H. Heilbronn	(1908-1975)
海伦	Heron of Alexander	(约公元1世纪)
海曼	W. K. Hayman	(1926-)
海涅	H. E. Heine	(1821-1881)
海森伯	W. K. Heisenberg	(1901-1976)
海廷	A. Heyting	(1898-1980)
亥姆霍兹	H. L. F. Helmholtz	(1821-1894)
汉克尔	H. Hankel	(1839-1873)
汉明	R. W. Hamming	(1915-1998)
豪斯多夫	F. Hausdorff	(1868-1942)
豪斯霍尔德	A. S. Householder	(1904-1993)
河田敬义	Kawada Yukiyoshi	(1916-1993)
赫尔德	O. L. Hölder	(1859-1937)
赫尔曼	M. E. Hellman	(1945- )
赫尔默特	F. R. Helmert	(1843-1917)
赫尔维茨	A. Hurwitz	(1859-1919)
赫戈	P. Heegaard	(1871-1948)
赫克	E. Hecke	(1887-1947)
赫维赛德	O. Heaviside 	(1850-1925)
黑夫利格尔	A. Haefliger	(1929-)
黑林格	E. Hellinger	(1883-1950)
黑塞	L. O. Hesse	(1811-1874)
亨特	G. A. Hunt	(1916-2008)
亨廷顿	E. V. Huntington	(1874-1952)
亨泽尔	K. Hensel	(1861-1941)
胡雷维奇	W. Hurewicz	(1904-1956)
胡明复	Minfu Tan Hu	(1891-1927)
户田盛和	Toda Morikazu	(1917-2010)
花拉子米	al-Khowārizmi	(约 783-850)
华林	E. Waring	(约 1734-1798)
华罗庚	Hua Loo-Keng	(1910-1985)
怀伯恩	G. T. Whyburn 	(1904-1969)
怀尔德	R. L. Wilder 	(1896-1982)
怀尔斯	A. Wiles	(1953-)
怀特黑德	A. N. Whitehead	(1861-1947)
怀特黑德	G. W. Whitehead	(1918-2004)
怀特黑德	J. H. G. Whitehead	(1904-1960)
惠更斯	C. Huygens	(1629-1695)
惠特克	E. T. Whittaker	(1873-1956)
惠特尼	H. Whitney	(1907-1989)
会田安明	Aida Yasuaki	(1747-1817)
霍布斯	T. Hobbes	(1588-1679)
霍尔	M. Hall Jr. 	(1910-1990)
霍尔	P. Hall	(1904-1982)
霍尔曼德	L. V. Hörmander	(1931-2012)
霍赫希尔德	G. P. Hochschild	(1915-2010)
霍金	S. W. Hawking	(1942-)
霍姆格伦	E. Holmgren	(1872-1943)
霍纳	W. G. Horner	(1786-1837)
霍普菲尔德	J. J. Hopfield	(1933-)
霍普夫	E. Hopf	(1902-1983)
霍普夫	H. Hopf	(1894-1971)
霍普金斯	W. Hopkins	(1793-1866)
霍奇	W. V. D. Hodge	(1903-1975)
霍特林	H. Hotelling	(1895-1973)
基尔霍夫	G. R. Kirchhoff	(1824-1887)
基弗	J. C. Kiefer	(1924-1981)
基灵	W. K. J. Killing	(1847-1923)
吉布斯	J. W. Gibbs	(1839-1903)
吉尔萨诺夫	1.V. Girsanov	(1934-1967)
吉亭	E. A. Gehan	(1929-)
吉洪诺夫	A. N. Tikhonov	(1906-1993)
吉拉尔	A. Girard	(1595-1632)
吉田耕作	Yosida Kosaku	(1909-1990)
吉文斯	J. W. Givens Jr. 	(1910-1993)
加勒	J. G. Galle	(1812-1910)
加藤敏夫	Kato Tosio	(1917-1999)
加托	R. E. Gateaux	(1889-1914)
伽利略	Galilei(Galileo)	(1564-1642)
伽辽金	B. G. Galerkin	(1871-1945)
伽罗瓦	E. Galois	(1811-1832)
嘉当	E. J. Cartan	(1869-1951)
嘉当	H. P. Cartan	(1904-2008)
贾宪	Jia Xian	(约11世纪上半叶)
建部贤弘	Takebe Katahiro	(1664-1739)
姜立夫	Chan-chan Tsoo(L. F. Chiang)	(1890-1978)
江泽涵	Kiang Tsai-han	(1902-1994)
焦赫里	al-Jawhari	(活跃于830前后)
角谷静夫	Kakutani Shizuo	(1911-2004)
杰拉德	Gerard of Cremona	(约1114-1187)
杰洛涅	B. N. Delone	(1890-1980)
杰文斯	W. S. Jevons	(1835-1882)
卡茨	M. Kac	(1914-1984)
卡尔达诺	G. Cardano	(1501-1576)
卡尔德龙	A. P. Calderón	(1920-1998)
卡尔曼	R. E. Kalman	(1930-2016)
卡尔平斯基	L. C. Karpinski	(1878-1956)
卡尔松	B. C. Carlson	(1924-2013)
卡吉耶	P. E. Cartier	(1932-7)
卡拉比	E. Calabi	(1923-)
卡拉泰奥多里	C. Carathèodory	(1873-1950)
卡莱曼	T. Carleman	(1892-1949)
卡勒松	L. A. E. Carleson	(1928-)
卡林	S. Karlin	(1924-2007)
卡梅伦	R. H. Cameron	(1908-1989)
卡姆克	E. Kamke	(1890-1961)
卡诺	L. N. M. Carnot	(1753-1823)
卡普兰斯基	I. Kaplansky	(1917-2006)
卡日丹	D. Kazhdan	(1946-)
卡塞尔斯	J. W. S. Cassels	(1922-2015)
卡塔兰	E. C. Catalan	(1814-1894)
卡特里	C. G. Khatri	(1931-)
卡托纳	G. O. H. Katona	(1941-)
卡瓦列里	B. Cavalieri	(1598-1647)
卡西	al-Kāshī	(?-1429)
卡约里	F. Cajori	(1859-1930)
开尔文勋爵(即W. 汤姆森)	Lord Kelvin
开普勒	J. Kepler	(1571-1630)
凯尔迪什	M. V. Keldysh	(1911-1978)
凯拉吉	al-Karaji	(约953-约1029)
凯莱	A. Cayley	(1821-1895)
凯勒	E. Kähler	(1906-2000)
凯勒	J. Keller	(1923-2016)
凯洛格	O. D. Kellogg	(1878-1932)
坎贝尔	J. E. Campbell	(1862-?)
坎帕努斯	Campanus of Novara	(?-1296)
坎泰利	F. P. Cantelli	(1875-1966)
康德	I. Kant	(1724-1804)
康福森	S. Cohn-Vossen	(1902-1936)
康托尔	G. Cantor	(1845-1918)
康托尔	M. B. Cantor	(1829-1920)
康托洛维奇	L. V. Kantorovich	(1912-1986)
康威	J. H. Conway	(1937-2020)
考克斯	D. R. Cox	(1924-)
考克斯特	H. S. M. Coxeter	(1907-2003)
考纽	M. A. Cornu	(1841-1902)
科茨	R. Cotes	(1682-1716)
科恩	P. J. Cohen	(1934-2007)
科尔	F. N. Cole	(1861-1926)
科尔莫戈罗夫	A. N. Kolmogorov	(1903-1987)
科尔泰沃赫	D. J. Korteweg	(1848-1941)
科马克	A. M. Cormack	(1924-1998)
科斯居尔	J. -L. Koszul	(1921-)
科斯坦特	B. Kostant	(1928-2017)
科特	S. Khot	(1978- )
柯蒂斯	C. W. Curtis	(1926-)
柯赫	H. von Koch	(1870-1924)
柯瓦列夫斯卡娅	S. V. Kovalevskaya	(1850-1891)
柯西	A. -L. Cauchy	(1789-1857)
克贝	P. Koebe	(1882-1945)
克拉夫丘克	M. F. Kravchuk	(1892-1942)
克拉默	G. Cramer	(1704-1752)
克拉默	H. Cramèr	(1893-1985)
克拉维乌斯	C. Clavius	(1537-1612)
克莱罗	A. -C. Clairaut	(1713-1765)
克莱因	F. Klein	(1849-1925)
克莱因	L. R. Klein	(1920-2013)
克莱因	M. Kline	(1908-1992)
克莱因伯格	J. Kleinberg	(1971-)
克赖因	M. G. Krein	(1907-1989)
克雷尔	A. L. Crelle	(1780-1855)
克雷莫纳	A. L. G. G. Cremona	(1830-1903)
克里斯托费尔	E. B. Christoffel	(1829-1900)
克利福德	A. H. Clliford	(1908-1992)
克利福德	W. -K. Clliford	(1845-1879)
克林	S. C. Kleene	(1909-1994)
克卢斯特曼	H. D. Kloosterman	(1900-1968)
克鲁尔	W. Krull	(1899-1971)
克鲁斯卡尔	M. D. Kruskal	(1925-2006)
克罗内克	L. Kronecker	(1823-1891)
克吕格尔	G. S. Klügel	(1739-1812)
克努特	D. E. Knuth	(1938-)
克诺普	K. Knopp	(1882-1957)
肯德尔	D. G. Kendall	(1918-2007)
肯普	A. B. Kempe	(1849-1922)
